epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.79676,1.18152,1.38291,1.214,0.65039,0.53531,0.61496,0.45239,1.08086,1.10834,1.12432,8.33e-06,8.33e-06,8.33e-06
2,6.93788,1.14314,1.37727,1.19973,0.66838,0.55516,0.62783,0.46539,1.07046,1.08295,1.1192,1.60829e-05,1.60829e-05,1.60829e-05
3,8.52872,1.17333,1.31652,1.22694,0.6788,0.56288,0.63833,0.47519,1.06338,1.06459,1.11318,2.19507e-05,2.19507e-05,2.19507e-05
4,10.1433,1.14704,1.28384,1.19445,0.71463,0.55955,0.65204,0.48856,1.05815,1.04147,1.10991,2.59337e-05,2.59337e-05,2.59337e-05
5,11.6458,1.14948,1.22616,1.19419,0.70119,0.57059,0.66272,0.49593,1.05181,1.01745,1.10477,2.80316e-05,2.80316e-05,2.80316e-05
6,13.2045,1.10225,1.21701,1.16321,0.68793,0.60375,0.67399,0.50748,1.04346,0.99732,1.0982,2.82447e-05,2.82447e-05,2.82447e-05
7,14.6435,1.0734,1.13865,1.14338,0.68645,0.62015,0.69294,0.51606,1.03904,0.97994,1.09718,2.65727e-05,2.65727e-05,2.65727e-05
8,16.1528,1.11149,1.1354,1.17549,0.6795,0.64098,0.70386,0.52295,1.03279,0.96358,1.09229,2.30158e-05,2.30158e-05,2.30158e-05
9,17.6928,1.08615,1.09557,1.14627,0.67305,0.6503,0.708,0.52859,1.02597,0.95121,1.08839,1.75739e-05,1.75739e-05,1.75739e-05
10,19.1422,1.08808,1.16247,1.18146,0.67675,0.65132,0.70884,0.52797,1.02304,0.94568,1.08758,1.02471e-05,1.02471e-05,1.02471e-05
