epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8643,1.17024,1.39186,1.2272,0.65566,0.5506,0.61554,0.45312,1.07893,1.10436,1.12329,8.33e-06,8.33e-06,8.33e-06
2,4.60906,1.18133,1.35108,1.21259,0.69314,0.55656,0.62699,0.46258,1.06957,1.07697,1.11821,1.60829e-05,1.60829e-05,1.60829e-05
3,6.11633,1.1729,1.33046,1.20622,0.70432,0.5712,0.63989,0.47616,1.06671,1.05942,1.11545,2.19507e-05,2.19507e-05,2.19507e-05
4,7.67413,1.13388,1.24625,1.19545,0.73312,0.55868,0.65668,0.49347,1.05966,1.03568,1.11037,2.59337e-05,2.59337e-05,2.59337e-05
5,9.34197,1.13567,1.26677,1.19798,0.6659,0.59754,0.66718,0.50119,1.05197,1.0112,1.10385,2.80316e-05,2.80316e-05,2.80316e-05
6,10.9636,1.12369,1.22165,1.2043,0.70647,0.59542,0.68076,0.51211,1.04201,0.99063,1.09718,2.82447e-05,2.82447e-05,2.82447e-05
7,12.5446,1.11117,1.21641,1.16527,0.72688,0.60352,0.68961,0.51836,1.03751,0.97461,1.09133,2.65727e-05,2.65727e-05,2.65727e-05
8,14.0341,1.11473,1.15427,1.16066,0.71534,0.62819,0.69802,0.5232,1.03333,0.96377,1.08785,2.30158e-05,2.30158e-05,2.30158e-05
9,15.5056,1.09394,1.12034,1.1583,0.73341,0.63668,0.7069,0.53096,1.02821,0.94853,1.08558,1.75739e-05,1.75739e-05,1.75739e-05
10,17.0014,1.07023,1.1223,1.15915,0.74176,0.63105,0.70787,0.53207,1.02754,0.94437,1.08481,1.02471e-05,1.02471e-05,1.02471e-05
